,prompts,keys,outputs
0,"Iowa Des Moines, Michigan Lansing, Utah Salt Lake City, Minnesota St. Paul, Rhode Island Providence, North Carolina Raleigh, Washington",Olympia,"DC, Tennessee Nashville, Kentucky Louisville, Alabama B"
1,"Hawaii Honolulu, Missouri Jefferson City, Iowa Des Moines, New York Albany, Tennessee Nashville, Florida Tallahassee, North Carolina",Raleigh,"Raleigh, Texas Austin, Illinois Chicago, California San"
2,"Kentucky Frankfort, Mississippi Jackson, Georgia Atlanta, Oklahoma Oklahoma City, North Dakota Bismarck, Louisiana Baton Rouge, Virginia",Richmond,"Richmond, Louisiana Lake Charles, Mississippi Shreveport,"
3,"South Dakota Pierre, Montana Helena, Indiana Indianapolis, Rhode Island Providence, Arizona Phoenix, California Sacramento, Missouri",Jefferson City,"Saint Louis, Washington Seattle, Wyoming Washington, D."
4,"Colorado Denver, New York Albany, New Jersey Trenton, Tennessee Nashville, Nebraska Lincoln, Montana Helena, Kentucky",Frankfort,"Frankfort, Kansas Topeka, Kansas Topeka"
5,"Wyoming Cheyenne, Virginia Richmond, Georgia Atlanta, Pennsylvania Harrisburg, Hawaii Honolulu, New York Albany, Nevada",Carson City,"Las Vegas, New Jersey Newark, New York Buff"
6,"Maine Augusta, New Jersey Trenton, Indiana Indianapolis, Arkansas Little Rock, Nebraska Lincoln, Vermont Montpelier, Alabama",Montgomery,"Montgomery, New Hampshire Concord, Iowa Des"
7,"Washington Olympia, Idaho Boise, Colorado Denver, Texas Austin, Hawaii Honolulu, South Dakota Pierre, Nevada",Carson City,"Las Vegas, Arizona Phoenix, Utah Tucson"
8,"Iowa Des Moines, West Virginia Charleston, Oklahoma Oklahoma City, Georgia Atlanta, Minnesota St. Paul, Missouri Jefferson City, Kansas",Topeka,"Topeka, Wisconsin Madison, Utah Salt Lake"
9,"Rhode Island Providence, Arkansas Little Rock, Montana Helena, Florida Tallahassee, Hawaii Honolulu, Kentucky Frankfort, Pennsylvania",Harrisburg,"Harrisburg, Tennessee Nashville, Oklahoma City, Oklahoma Oklahoma"
10,"Maryland Annapolis, Hawaii Honolulu, Illinois Springfield, West Virginia Charleston, Oklahoma Oklahoma City, Delaware Dover, Nebraska",Lincoln,"Lincoln, New Mexico Santa Fe, North Carolina Raleigh"
11,"Iowa Des Moines, Arizona Phoenix, Kentucky Frankfort, Alabama Montgomery, Colorado Denver, North Dakota Bismarck, Michigan",Lansing,"Lansing, Louisiana Baton Rouge, Kansas To"
12,"Virginia Richmond, Washington Olympia, Iowa Des Moines, Michigan Lansing, New Jersey Trenton, Mississippi Jackson, Minnesota",St. Paul,"St. Paul, Florida Tallahassee, Kansas To"
13,"Delaware Dover, Louisiana Baton Rouge, Oklahoma Oklahoma City, Massachusetts Boston, Maryland Annapolis, Missouri Jefferson City, South Dakota",Pierre,"Pierre, Tennessee Nashville, Utah Salt Lake City,"
14,"Mississippi Jackson, Rhode Island Providence, Montana Helena, Wyoming Cheyenne, Alabama Montgomery, New York Albany, Kentucky",Frankfort,"Frankfort, Arizona Phoenix, Arkansas Little Rock, California"
15,"Wyoming Cheyenne, Texas Austin, Iowa Des Moines, Mississippi Jackson, New York Albany, Alabama Montgomery, Connecticut",Hartford,"
The Wyoming Cheyenne, Texas Austin, Iowa"
16,"Florida Tallahassee, Hawaii Honolulu, Mississippi Jackson, Louisiana Baton Rouge, Arizona Phoenix, Michigan Lansing, Texas",Austin,"Austin, California Sacramento, Texas Houston, California Los"
17,"Delaware Dover, West Virginia Charleston, Wyoming Cheyenne, North Dakota Bismarck, Arkansas Little Rock, Maryland Annapolis, Texas",Austin,"Washington, Missouri Jefferson City, Virginia Richmond, Kentucky Frankfort"
18,"Indiana Indianapolis, New Hampshire Concord, Texas Austin, Alaska Juneau, Georgia Atlanta, Delaware Dover, Connecticut",Hartford,"Hartford, Tennessee Nashville, Missouri Jefferson City, Ohio"
19,"Iowa Des Moines, Arizona Phoenix, Maryland Annapolis, Indiana Indianapolis, New Hampshire Concord, Kansas Topeka, Texas",Austin,"Austin, North Carolina Raleigh, California Los Angeles,"
20,"New Jersey Trenton, New Mexico Santa Fe, Nebraska Lincoln, Iowa Des Moines, Michigan Lansing, Indiana Indianapolis, Vermont",Montpelier,"Burlington, Maine Portland, New York New York"
21,"Idaho Boise, Wisconsin Madison, Montana Helena, Nebraska Lincoln, Indiana Indianapolis, New Jersey Trenton, North Dakota",Bismarck,"Bismarck, Ohio Columbus, Ohio Toled"
22,"Idaho Boise, Connecticut Hartford, Wyoming Cheyenne, Pennsylvania Harrisburg, Nevada Carson City, Iowa Des Moines, Virginia",Richmond,"Richmond, Illinois Springfield, Ohio Columbus, Massachusetts Boston"
23,"Wisconsin Madison, Montana Helena, Virginia Richmond, Iowa Des Moines, Massachusetts Boston, Delaware Dover, Illinois",Springfield,"Springfield, Maryland Annapolis, Illinois Springfield, Maryland"
24,"Oklahoma Oklahoma City, Alaska Juneau, Colorado Denver, Washington Olympia, Oregon Salem, Wyoming Cheyenne, Michigan",Lansing,"Lansing, Louisiana Baton Rouge, Arizona Phoenix"
25,"Florida Tallahassee, Rhode Island Providence, California Sacramento, Idaho Boise, Nevada Carson City, Iowa Des Moines, Minnesota",St. Paul,"St. Paul, New Hampshire Concord, Vermont"
26,"Virginia Richmond, Kentucky Frankfort, Iowa Des Moines, Florida Tallahassee, Delaware Dover, Colorado Denver, New Hampshire",Concord,"Manchester, Arkansas Little Rock, New York Albany,"
27,"Louisiana Baton Rouge, New Mexico Santa Fe, Georgia Atlanta, Hawaii Honolulu, Pennsylvania Harrisburg, Delaware Dover, Maryland",Annapolis,"Annapolis, Washington, D.C. Arlington"
28,"New Hampshire Concord, Iowa Des Moines, Wyoming Cheyenne, Georgia Atlanta, Pennsylvania Harrisburg, Louisiana Baton Rouge, Alaska",Juneau,"New York, Ohio San Francisco, Nevada Oklahoma City,"
29,"Nevada Carson City, Idaho Boise, Montana Helena, Louisiana Baton Rouge, Arizona Phoenix, Delaware Dover, Minnesota",St. Paul,"Minneapolis, Nevada Reno, Utah Salt"
30,"Virginia Richmond, Oregon Salem, Ohio Columbus, Massachusetts Boston, Utah Salt Lake City, Tennessee Nashville, New Hampshire",Concord,"Concord, Arizona Phoenix, Oregon Portland, Oregon Eug"
31,"Georgia Atlanta, New Jersey Trenton, Utah Salt Lake City, West Virginia Charleston, Michigan Lansing, Pennsylvania Harrisburg, New Mexico",Santa Fe,"Santa Fe, South Carolina Columbia, South Carolina, Virginia Richmond"
32,"North Dakota Bismarck, Hawaii Honolulu, Delaware Dover, Idaho Boise, Alabama Montgomery, Virginia Richmond, Vermont",Montpelier,"Montpelier, Minnesota Saint Paul, Alaska Juneau"
33,"Utah Salt Lake City, Virginia Richmond, Missouri Jefferson City, Indiana Indianapolis, Wisconsin Madison, Mississippi Jackson, Washington",Olympia,"DC, North Carolina Raleigh, New Jersey Newark"
34,"Georgia Atlanta, Mississippi Jackson, Iowa Des Moines, North Carolina Raleigh, Nebraska Lincoln, Washington Olympia, Missouri",Jefferson City,"Kansas City, Oklahoma City, Oklahoma Albuquerque,"
35,"Delaware Dover, Connecticut Hartford, Wyoming Cheyenne, Mississippi Jackson, Alabama Montgomery, Ohio Columbus, Maine",Augusta,"Portland, Tennessee Nashville, New York New York,"
36,"Nevada Carson City, Kansas Topeka, Oklahoma Oklahoma City, Arkansas Little Rock, Idaho Boise, Washington Olympia, Maryland",Annapolis,"Baltimore, Minnesota Minneapolis, Wisconsin Madison, Illinois"
37,"Rhode Island Providence, South Dakota Pierre, Oregon Salem, Nebraska Lincoln, Delaware Dover, Mississippi Jackson, Vermont",Montpelier,"Montpelier, Oklahoma Oklahoma City, Mississippi Jackson, Texas"
38,"Louisiana Baton Rouge, Minnesota St. Paul, Kentucky Frankfort, Rhode Island Providence, Indiana Indianapolis, Wyoming Cheyenne, Vermont",Montpelier,"Montpelier, Illinois Springfield, West Virginia Charl"
39,"Delaware Dover, Mississippi Jackson, Florida Tallahassee, Vermont Montpelier, New Hampshire Concord, New Jersey Trenton, California",Sacramento,"Sacramento, New York Albany, New York Alb"
40,"Iowa Des Moines, Wyoming Cheyenne, Pennsylvania Harrisburg, South Dakota Pierre, Tennessee Nashville, New Hampshire Concord, Washington",Olympia,"Olympia, Montana Helena, Alaska Juneau"
41,"Arizona Phoenix, Iowa Des Moines, Wyoming Cheyenne, Minnesota St. Paul, Alabama Montgomery, Maine Augusta, Maryland",Annapolis,"Washington, District of Columbia Washington, D.C.
"
42,"Arkansas Little Rock, Iowa Des Moines, Florida Tallahassee, Maine Augusta, California Sacramento, New Jersey Trenton, New Hampshire",Concord,"Concord, Ohio Columbus, West Virginia Charleston"
43,"Tennessee Nashville, Oklahoma Oklahoma City, Indiana Indianapolis, Texas Austin, Wisconsin Madison, Alabama Montgomery, Nevada",Carson City,"Las Vegas, Texas Dallas, New Mexico Albuquer"
44,"Delaware Dover, Arkansas Little Rock, Oregon Salem, Hawaii Honolulu, Nebraska Lincoln, Vermont Montpelier, Virginia",Richmond,"Richmond, Texas Austin, Georgia Atlanta, North Carolina Rale"
45,"Montana Helena, Maryland Annapolis, Tennessee Nashville, Idaho Boise, Alabama Montgomery, Wyoming Cheyenne, Illinois",Springfield,"Springfield, Oregon Salem, Georgia Augusta, Indiana"
46,"New Hampshire Concord, South Dakota Pierre, Hawaii Honolulu, Indiana Indianapolis, Pennsylvania Harrisburg, Georgia Atlanta, Illinois",Springfield,"Springfield, Florida Tallahassee, Illinois Springfield"
47,"New Hampshire Concord, Nebraska Lincoln, Oklahoma Oklahoma City, Rhode Island Providence, South Dakota Pierre, Wyoming Cheyenne, Louisiana",Baton Rouge,"Baton Rouge, Mississippi Jackson, Mississippi Jackson, Mississippi"
48,"Mississippi Jackson, Delaware Dover, Nevada Carson City, New Hampshire Concord, Maine Augusta, Wyoming Cheyenne, Kentucky",Frankfort,"Frankfort, South Dakota Pierre, Oregon Salem,"
49,"Minnesota St. Paul, Louisiana Baton Rouge, Virginia Richmond, Delaware Dover, Oklahoma Oklahoma City, Indiana Indianapolis, Kentucky",Frankfort,"Louisville, New York Albany, New York Rochester"
50,"Arizona Phoenix, Nebraska Lincoln, North Dakota Bismarck, Michigan Lansing, Indiana Indianapolis, Rhode Island Providence, West Virginia",Charleston,"Charleston, New Hampshire Concord, New York"
51,"New Jersey Trenton, Montana Helena, Texas Austin, Tennessee Nashville, New Hampshire Concord, Iowa Des Moines, Maryland",Annapolis,"Annapolis, Nevada Carson City, New Mexico Santa"
52,"Washington Olympia, Minnesota St. Paul, Indiana Indianapolis, Alaska Juneau, Massachusetts Boston, Idaho Boise, New York",Albany,"Albany, Louisiana Baton Rouge, Texas Austin,"
53,"Mississippi Jackson, Utah Salt Lake City, Wisconsin Madison, Colorado Denver, North Carolina Raleigh, New Hampshire Concord, South Dakota",Pierre,"Pierre, Florida Tallahassee, Texas Austin, New"
54,"Maryland Annapolis, Illinois Springfield, Oklahoma Oklahoma City, Tennessee Nashville, Nevada Carson City, Hawaii Honolulu, Missouri",Jefferson City,"Jefferson City, Mississippi Jackson, Utah Salt Lake City,"
55,"Vermont Montpelier, Michigan Lansing, Indiana Indianapolis, Wyoming Cheyenne, Oklahoma Oklahoma City, West Virginia Charleston, New York",Albany,"Albany, New York New York City, New York New"
56,"Delaware Dover, California Sacramento, Hawaii Honolulu, Mississippi Jackson, Maryland Annapolis, Missouri Jefferson City, New Mexico",Santa Fe,"Santa Fe, North Carolina Raleigh, Ohio Columbus"
57,"Delaware Dover, Montana Helena, Tennessee Nashville, Alaska Juneau, Kansas Topeka, Wyoming Cheyenne, New York",Albany,"Albany, Oklahoma Oklahoma City, Nevada Las Vegas"
58,"Georgia Atlanta, New Hampshire Concord, Tennessee Nashville, Alaska Juneau, Wyoming Cheyenne, Florida Tallahassee, Pennsylvania",Harrisburg,"Harrisburg, Vermont Montpelier, North Carolina R"
59,"Maryland Annapolis, Tennessee Nashville, New Mexico Santa Fe, Indiana Indianapolis, Kentucky Frankfort, New Jersey Trenton, Illinois",Springfield,"Springfield, Kentucky Frankfort, Missouri Jefferson City, South"
60,"Pennsylvania Harrisburg, Georgia Atlanta, Indiana Indianapolis, Rhode Island Providence, Florida Tallahassee, Louisiana Baton Rouge, Missouri",Jefferson City,"Jefferson City, New Hampshire Concord, North Carolina R"
61,"Hawaii Honolulu, New York Albany, Wyoming Cheyenne, Arkansas Little Rock, Missouri Jefferson City, South Dakota Pierre, West Virginia",Charleston,"Charleston, Arizona Phoenix, California Sacramento,"
62,"Montana Helena, Oklahoma Oklahoma City, Nebraska Lincoln, Illinois Springfield, Iowa Des Moines, Utah Salt Lake City, Alabama",Montgomery,"Huntsville, Alabama Tuscaloosa, Alabama"
63,"Rhode Island Providence, South Dakota Pierre, Mississippi Jackson, Vermont Montpelier, Idaho Boise, California Sacramento, Connecticut",Hartford,"Hartford, Utah Salt Lake City, Maine Portland"
64,"West Virginia Charleston, Kansas Topeka, Arizona Phoenix, Indiana Indianapolis, Oregon Salem, Idaho Boise, Louisiana",Baton Rouge,"Shreveport, Ohio Columbus, Louisiana Monroe"
65,"Indiana Indianapolis, Pennsylvania Harrisburg, Colorado Denver, Michigan Lansing, Oregon Salem, Delaware Dover, Connecticut",Hartford,"Hartford, Arizona Phoenix, Oklahoma Oklahoma City, California Sac"
66,"Texas Austin, Arizona Phoenix, Arkansas Little Rock, New Jersey Trenton, Oregon Salem, South Dakota Pierre, Washington",Olympia,"Olympia
The City of Austin has released the following update"
67,"Washington Olympia, Wisconsin Madison, Georgia Atlanta, Arizona Phoenix, New Jersey Trenton, Nebraska Lincoln, Minnesota",St. Paul,"Minneapolis, South Dakota Sioux Falls,"
68,"Wyoming Cheyenne, Pennsylvania Harrisburg, Iowa Des Moines, Arkansas Little Rock, New Mexico Santa Fe, North Carolina Raleigh, Connecticut",Hartford,"New York, North Carolina Charleston, South Carolina Sav"
69,"Arkansas Little Rock, Illinois Springfield, Kansas Topeka, Rhode Island Providence, New York Albany, Hawaii Honolulu, Florida",Tallahassee,"Miami, Minnesota Minneapolis, North Dakota Fargo"
70,"Virginia Richmond, California Sacramento, Delaware Dover, Idaho Boise, Washington Olympia, Oklahoma Oklahoma City, Wisconsin",Madison,"Madison, Minnesota Saint Paul, Minnesota
The U."
71,"Massachusetts Boston, Iowa Des Moines, Minnesota St. Paul, Maine Augusta, Arkansas Little Rock, Missouri Jefferson City, West Virginia",Charleston,"Charleston, South Carolina Columbia, North Carolina Rale"
72,"Mississippi Jackson, West Virginia Charleston, Massachusetts Boston, Rhode Island Providence, Alabama Montgomery, Connecticut Hartford, Alaska",Juneau,"Anchorage, Florida Miami, Alabama Tampa, New"
73,"South Carolina Columbia, Idaho Boise, North Carolina Raleigh, Minnesota St. Paul, Iowa Des Moines, Tennessee Nashville, Louisiana",Baton Rouge,"Baton Rouge, Louisiana New Orleans, South Carolina Char"
74,"Alabama Montgomery, South Carolina Columbia, Rhode Island Providence, Arizona Phoenix, Kansas Topeka, Arkansas Little Rock, California",Sacramento,"Sacramento, Colorado Denver, Connecticut Hartford,"
75,"Connecticut Hartford, Texas Austin, Nevada Carson City, Tennessee Nashville, Colorado Denver, Arkansas Little Rock, West Virginia",Charleston,"Charleston, Ohio Columbus, Kentucky Frankfort,"
76,"Georgia Atlanta, Arkansas Little Rock, Minnesota St. Paul, Oklahoma Oklahoma City, Michigan Lansing, Texas Austin, West Virginia",Charleston,"Charleston, Virginia Richmond, Wisconsin Milwaukee"
77,"New Jersey Trenton, Washington Olympia, North Carolina Raleigh, Kansas Topeka, Utah Salt Lake City, Colorado Denver, South Carolina",Columbia,"Columbia, Maryland Baltimore, Indiana Indianapolis, Washington Seattle,"
78,"Connecticut Hartford, Oklahoma Oklahoma City, South Carolina Columbia, Arkansas Little Rock, Illinois Springfield, Tennessee Nashville, Ohio",Columbus,"Columbus, Minnesota Minneapolis, Indiana Indianapolis,"
79,"California Sacramento, Mississippi Jackson, Ohio Columbus, Indiana Indianapolis, Arkansas Little Rock, Illinois Springfield, Florida",Tallahassee,"Jacksonville, Georgia Atlanta, Hawaii Honolulu,"
80,"Rhode Island Providence, Iowa Des Moines, Alaska Juneau, Idaho Boise, Oregon Salem, Connecticut Hartford, Kansas",Topeka,"Topeka, Kansas Little Rock, Arkansas Oklahoma City"
81,"North Dakota Bismarck, Oregon Salem, Tennessee Nashville, Utah Salt Lake City, Washington Olympia, Indiana Indianapolis, Texas",Austin,"San Antonio, West Virginia Charleston, Wisconsin Milw"
82,"Georgia Atlanta, Alaska Juneau, Kentucky Frankfort, Wyoming Cheyenne, Vermont Montpelier, Mississippi Jackson, Washington",Olympia,"Olympia, Arizona Phoenix, Maine Augusta, Kansas To"
83,"Delaware Dover, Pennsylvania Harrisburg, Montana Helena, Indiana Indianapolis, Arizona Phoenix, California Sacramento, Ohio",Columbus,"Springfield, Washington, D.C.
Pen"
84,"Rhode Island Providence, Utah Salt Lake City, Missouri Jefferson City, Mississippi Jackson, Nevada Carson City, Oregon Salem, South Dakota",Pierre,"Pierre, Tennessee Nashville, Texas Austin, Vermont Mont"
85,"Wyoming Cheyenne, Iowa Des Moines, South Dakota Pierre, Oregon Salem, Virginia Richmond, Delaware Dover, New Hampshire",Concord,"Concord, New Hampshire Albany, New York Ro"
86,"Florida Tallahassee, Indiana Indianapolis, South Carolina Columbia, Massachusetts Boston, Delaware Dover, New Mexico Santa Fe, Alaska",Juneau,"Anchorage, Tennessee Knoxville, North Carolina R"
87,"North Carolina Raleigh, Tennessee Nashville, Kansas Topeka, Nebraska Lincoln, Arkansas Little Rock, Georgia Atlanta, Kentucky",Frankfort,"Louisville, Ohio Columbus, Texas Austin, Colorado Den"
88,"Oklahoma Oklahoma City, Texas Austin, Tennessee Nashville, Oregon Salem, Pennsylvania Harrisburg, Wyoming Cheyenne, Maine",Augusta,"Augusta, South Carolina Columbia, Virginia Richmond, West Virginia"
89,"Ohio Columbus, Mississippi Jackson, Montana Helena, New Jersey Trenton, Oklahoma Oklahoma City, Minnesota St. Paul, Missouri",Jefferson City,"Jefferson City, Texas Austin, Texas Dallas, Texas Houston,"
90,"Tennessee Nashville, Arizona Phoenix, Delaware Dover, Oregon Salem, Maine Augusta, Ohio Columbus, Montana",Helena,"Helena, South Carolina Columbia, Wyoming Cheyenne"
91,"Utah Salt Lake City, Idaho Boise, Vermont Montpelier, Tennessee Nashville, California Sacramento, New York Albany, North Dakota",Bismarck,"Bismarck,
Craig B. W"
92,"Michigan Lansing, Arkansas Little Rock, Oregon Salem, New Jersey Trenton, North Carolina Raleigh, Rhode Island Providence, West Virginia",Charleston,"Charleston, Indiana Indianapolis, Kentucky Louisville,"
93,"Maryland Annapolis, Missouri Jefferson City, Utah Salt Lake City, Arkansas Little Rock, Oregon Salem, Arizona Phoenix, North Dakota",Bismarck,"Bismarck, Indiana Indianapolis, Louisiana Baton"
94,"Vermont Montpelier, Kentucky Frankfort, Massachusetts Boston, Virginia Richmond, Colorado Denver, New Jersey Trenton, New York",Albany,"Albany, New York New York, New York
New"
95,"Delaware Dover, Arkansas Little Rock, Missouri Jefferson City, North Dakota Bismarck, Hawaii Honolulu, Alaska Juneau, New York",Albany,"Albany, Pennsylvania Harrisburg, Texas Austin, Louisiana Bat"
96,"Kansas Topeka, Connecticut Hartford, Colorado Denver, Indiana Indianapolis, New Mexico Santa Fe, Tennessee Nashville, North Carolina",Raleigh,"Raleigh, Oklahoma City, Oklahoma Oklahoma City, Virginia"
97,"Kentucky Frankfort, New Mexico Santa Fe, Illinois Springfield, Arizona Phoenix, Colorado Denver, Hawaii Honolulu, California",Sacramento,"San Francisco, California Los Angeles, California San Diego, California"
98,"Alabama Montgomery, Nebraska Lincoln, Colorado Denver, Massachusetts Boston, Arkansas Little Rock, Maine Augusta, Oregon",Salem,"Portland, and many others.
In the U."
99,"Missouri Jefferson City, New York Albany, Rhode Island Providence, Colorado Denver, Alaska Juneau, Massachusetts Boston, Illinois",Springfield,"Springfield, Florida Tallahassee, North Carolina R"
100,"Rhode Island Providence, California Sacramento, Maine Augusta, Arkansas Little Rock, Tennessee Nashville, South Carolina Columbia, New Mexico",Santa Fe,"Santa Fe, South Carolina Raleigh, Illinois Springfield"
101,"California Sacramento, Utah Salt Lake City, North Carolina Raleigh, Arizona Phoenix, Michigan Lansing, New Jersey Trenton, Texas",Austin,"Austin, Wisconsin Madison, Washington Seattle, North Carolina R"
