,prompts,keys,outputs
0,"Turkey Ankara, Nigeria Abuja, Romania Bucharest, Ireland Dublin, Serbia Belgrade, South Africa Pretoria, Mauritania",Nouakchott,"Nouakchott, United Arab Emirates Dub"
1,"Ecuador Quito, Bolivia Sucre, Somalia Mogadishu, Belarus Minsk, Argentina Buenos Aires, Israel Jerusalem, Russia",Moscow,"Moscow, Russia Moscow, Russia Moscow, Russia Moscow, Russia"
2,"Lebanon Beirut, China Beijing, Malaysia Kuala Lumpur, Equatorial Guinea Malabo, Afghanistan Kabul, Turkey Ankara, Ireland",Dublin,"Dublin, France Paris, Switzerland Geneva, Germany Berlin,"
3,"Kazakhstan Nursultan, Latvia Riga, Malawi Lilongwe, Israel Jerusalem, Ukraine Kiev, New Zealand Wellington, Sweden",Stockholm,"Stockholm, Switzerland Geneva, South Africa Cape Town, Spain"
4,"Myanmar Nay Pyi Taw, Ivory Coast Yamoussoukro, Angola Luanda, United Arab Emirates Abu Dhabi, Botswana Gaborone, Central African Republic Bangui, Nicaragua",Managua,"Managua, Bahrain Manama, Rwanda K"
5,"Georgia Tbilisi, Israel Jerusalem, South Africa Pretoria, Canada Ottawa, Malawi Lilongwe, Denmark Copenhagen, El Salvador",San Salvador,"San Salvador, Germany Berlin, Ethiopia Addis Ab"
6,"Republic of the Congo Brazzaville, Philippines Manila, Puerto Rico San Juan, Equatorial Guinea Malabo, Eswatini Mbabane, Benin Porto-Novo, Lebanon",Beirut,"Beirut, Burundi Bujumbura,"
7,"Trinidad and Tobago Port-of-Spain, Ecuador Quito, Kyrgyzstan Bishkek, Kazakhstan Nursultan, Togo Lomé, Guatemala Guatemala City, South Korea",Seoul,"Seoul, Malaysia Kuala Lumpur,"
8,"New Zealand Wellington, China Beijing, Liberia Monrovia, Kenya Nairobi, Guinea Conakry, Nigeria Abuja, Libya",Tripoli,"Tripoli, Rwanda Kigali, U"
9,"Serbia Belgrade, Cameroon Yaounde, Mexico Mexico City, China Beijing, Sri Lanka Colombo, Syria Damascus, Cyprus",Nicosia,"Nicosia, Turkey Ankara, United States of"
10,"El Salvador San Salvador, Haiti Port-au-Prince, Papua New Guinea Port Moresby, Cameroon Yaounde, Burundi Bujumbura, Canada Ottawa, Mozambique",Maputo,"Maputo, United States Washington DC, United States Washington DC"
11,"Sri Lanka Colombo, Bolivia Sucre, Togo Lomé, Sudan Khartoum, Denmark Copenhagen, Canada Ottawa, Slovenia",Ljubljana,"Ljubljana, United States Washington, United States Washington"
12,"Cameroon Yaounde, Malawi Lilongwe, Tanzania Dodoma, Azerbaijan Baku, Vietnam Hanoi, Norway Oslo, Eswatini",Mbabane,"Mbabane, Nigeria Abuja, Al"
13,"India New Delhi, Republic of the Congo Brazzaville, Peru Lima, Mauritius Port Louis, Nigeria Abuja, Canada Ottawa, North Korea",Pyongyang,"Pyongyang, China Beijing, Iran Te"
14,"Nigeria Abuja, Rwanda Kigali, Armenia Yerevan, China Beijing, Mauritius Port Louis, United Arab Emirates Abu Dhabi, Austria",Vienna,"Vienna, India Mumbai, France Paris, Germany Frankfurt"
15,"Trinidad and Tobago Port-of-Spain, Ivory Coast Yamoussoukro, Slovenia Ljubljana, El Salvador San Salvador, Israel Jerusalem, Timor-Leste Dili, Serbia",Belgrade,"Belgrade, Czech Republic Prague, Switzerland Geneva,"
16,"Djibouti Djibouti, Cameroon Yaounde, Switzerland Bern, Jordan Amman, Gambia Banjul, Albania Tirana, Finland",Helsinki,"Helsinki, Senegal Dakar, Mali"
17,"Syria Damascus, Sri Lanka Colombo, United Kingdom London, Madagascar Antananarivo, China Beijing, United Arab Emirates Abu Dhabi, Haiti",Port-au-Prince,"Port-au-Prince, Honduras Teg"
18,"Gambia Banjul, United Arab Emirates Abu Dhabi, Libya Tripoli, Niger Niamey, Morocco Rabat, Uruguay Montevideo, Poland",Warsaw,"Warsaw, Ghana Accra, Nigeria Abu"
19,"Poland Warsaw, Switzerland Bern, Cuba Havana, Vietnam Hanoi, United States Washington, D.C., Belgium Brussels, Mauritania",Nouakchott,"Nouakchott, Spain Barcelona, Italy Milan,"
20,"Algeria Algiers, Equatorial Guinea Malabo, South Africa Pretoria, Myanmar Nay Pyi Taw, Haiti Port-au-Prince, Indonesia Jakarta, Palestine",Ramallah,"Ramallah, and the United Arab Emirates Ab"
21,"Cameroon Yaounde, Nigeria Abuja, Papua New Guinea Port Moresby, Honduras Tegucigalpa, South Africa Pretoria, Oman Muscat, Syria",Damascus,"Damascus, United States Washington, U.S."
22,"Gambia Banjul, Tanzania Dodoma, Timor-Leste Dili, Turkey Ankara, Niger Niamey, Hungary Budapest, Burkina Faso",Ouagadougou,"Ouagadougou, Cameroon Yaound"
23,"Germany Berlin, Cameroon Yaounde, Chad N'Djamena, Malawi Lilongwe, Burundi Bujumbura, Myanmar Nay Pyi Taw, Costa Rica",San José,"San Jose, Djibouti Djibouti,"
24,"Uruguay Montevideo, India New Delhi, Thailand Bangkok, Philippines Manila, Gambia Banjul, Colombia Bogota, Sweden",Stockholm,"Stockholm, Brazil Rio de Janeiro, United States Washington, D"
25,"Nicaragua Managua, Sri Lanka Colombo, Central African Republic Bangui, Vietnam Hanoi, Morocco Rabat, Yemen Sanaa, Lithuania",Vilnius,"Vilnius, South Africa Johannesburg, Ghana Accra"
26,"India New Delhi, Mauritania Nouakchott, Chad N'Djamena, Hungary Budapest, United Arab Emirates Abu Dhabi, Tanzania Dodoma, Angola",Luanda,"Luanda, Zimbabwe Harare, Ug"
27,"Djibouti Djibouti, New Zealand Wellington, Mali Bamako, South Sudan Juba, Morocco Rabat, Pakistan Islamabad, Honduras",Tegucigalpa,"Tegucigalpa, Canada Ottawa, India"
28,"United States Washington, D.C., Togo Lomé, Burundi Bujumbura, Mali Bamako, Trinidad and Tobago Port-of-Spain, Spain Madrid, Somalia",Mogadishu,"Mogadishu, Spain Seville, France Paris"
29,"Slovakia Bratislava, Ukraine Kiev, United Kingdom London, Australia Canberra, Ecuador Quito, Switzerland Bern, Panama",Panama City,"City, United States Washington, United States New York, United"
30,"Nigeria Abuja, Ecuador Quito, Switzerland Bern, Sweden Stockholm, Spain Madrid, Mauritania Nouakchott, Thailand",Bangkok,"Bangkok, United States Washington, D.C."
31,"Hong Kong Hong Kong, Gambia Banjul, Ivory Coast Yamoussoukro, Mozambique Maputo, Mali Bamako, New Zealand Wellington, Uganda",Kampala,"Kampala, United Kingdom London, United States Washington D"
32,"Kuwait Kuwait City, Poland Warsaw, Gambia Banjul, Vietnam Hanoi, Burundi Bujumbura, Burkina Faso Ouagadougou, Chad",N'Djamena,"N'Djamena, Djibouti Dj"
33,"Kuwait Kuwait City, Georgia Tbilisi, Estonia Tallinn, Kazakhstan Nursultan, Ecuador Quito, Myanmar Nay Pyi Taw, Guinea-Bissau",Bissau,"Bissau, Kazakhstan Almaty, K"
34,"North Macedonia Skopje, Liberia Monrovia, Bangladesh Dhaka, Turkey Ankara, United States Washington, D.C., Ecuador Quito, Belarus",Minsk,"Minsk, Italy Milan, United States New York, United"
35,"Slovenia Ljubljana, Central African Republic Bangui, Benin Porto-Novo, Mongolia Ulaanbaatar, United Arab Emirates Abu Dhabi, Gambia Banjul, Albania",Tirana,"Tirana, Algeria Algiers, Argentina Buenos"
36,"Taiwan Taipei, Philippines Manila, China Beijing, Cuba Havana, Yemen Sanaa, Romania Bucharest, Haiti",Port-au-Prince,"Port-au-Prince, Honduras Teg"
37,"Uruguay Montevideo, Australia Canberra, India New Delhi, Jordan Amman, Somalia Mogadishu, Nigeria Abuja, Moldova",Chisinau,"Chisinau, United States New York City, United"
38,"Mexico Mexico City, Turkey Ankara, Iraq Baghdad, Philippines Manila, Gambia Banjul, Rwanda Kigali, Timor-Leste",Dili,"Dili, and 15 more
Sustain"
39,"South Africa Pretoria, Venezuela Caracas, Colombia Bogota, Turkey Ankara, Tajikistan Dushanbe, Gambia Banjul, Honduras",Tegucigalpa,"Tegucigalpa, India New Delhi,"
40,"Benin Porto-Novo, Puerto Rico San Juan, Myanmar Nay Pyi Taw, Lesotho Maseru, Ecuador Quito, Timor-Leste Dili, Peru",Lima,"Lima, Peru Cusco, Peru Puerto Maldon"
41,"Bulgaria Sofia, China Beijing, Niger Niamey, Guinea-Bissau Bissau, Philippines Manila, Morocco Rabat, Estonia",Tallinn,"Tallinn, Romania Bucharest, Spain Barcelona"
42,"Costa Rica San José, United States Washington, D.C., New Zealand Wellington, Sweden Stockholm, Lesotho Maseru, Vietnam Hanoi, South Sudan",Juba,"Juba, Tanzania Dar es Salaam,"
43,"Benin Porto-Novo, Tanzania Dodoma, Algeria Algiers, Palestine Ramallah, Israel Jerusalem, Liberia Monrovia, Lesotho",Maseru,"Maseru, Burundi Bujumbura,"
44,"Sudan Khartoum, Nepal Kathmandu, Iran Tehran, United States Washington, D.C., Morocco Rabat, Nigeria Abuja, Eritrea",Asmara,"Asmara, Ethiopia Addis Ababa,"
45,"Taiwan Taipei, Libya Tripoli, Ghana Accra, United States Washington, D.C., Morocco Rabat, Somalia Mogadishu, Costa Rica",San José,"San Jose, South Sudan Juba, Zimbab"
46,"Lebanon Beirut, Ethiopia Addis Ababa, Trinidad and Tobago Port-of-Spain, Ecuador Quito, Egypt Cairo, Equatorial Guinea Malabo, Malaysia",Kuala Lumpur,"Kuala Lumpur, Malta Valletta"
47,"Mozambique Maputo, Ecuador Quito, Cameroon Yaounde, New Zealand Wellington, Gabon Libreville, Norway Oslo, Netherlands",Amsterdam,"Amsterdam, Tanzania Dar es Salaam, Italy"
48,"Libya Tripoli, Switzerland Bern, Azerbaijan Baku, China Beijing, South Africa Pretoria, Palestine Ramallah, Cyprus",Nicosia,"Nicosia, Kazakhstan Astana, United Kingdom"
49,"Kazakhstan Nursultan, Peru Lima, Senegal Dakar, Madagascar Antananarivo, Ivory Coast Yamoussoukro, Vietnam Hanoi, Botswana",Gaborone,"Gaborone, Tanzania Dar es Salaam"
50,"Equatorial Guinea Malabo, Turkmenistan Ashgabat, Bolivia Sucre, Nicaragua Managua, Myanmar Nay Pyi Taw, South Sudan Juba, Mali",Bamako,"Bamako, Burundi Bujumbura,"
51,"United States Washington, D.C., Uruguay Montevideo, India New Delhi, Benin Porto-Novo, Kyrgyzstan Bishkek, Bahrain Manama, Sierra Leone",Freetown,"Freetown, Saudi Arabia Jeddah,"
52,"Ivory Coast Yamoussoukro, Austria Vienna, China Beijing, Honduras Tegucigalpa, Puerto Rico San Juan, Trinidad and Tobago Port-of-Spain, Madagascar",Antananarivo,"Antananarivo, United States Washington, D."
53,"Uzbekistan Tashkent, Cameroon Yaounde, Mozambique Maputo, Syria Damascus, United Arab Emirates Abu Dhabi, Burundi Bujumbura, Netherlands",Amsterdam,"Antilles Willemstad, Tajikistan Dush"
54,"Egypt Cairo, Pakistan Islamabad, Yemen Sanaa, Tanzania Dodoma, Lebanon Beirut, Australia Canberra, Indonesia",Jakarta,"Jakarta, South Korea Seoul, Italy Rome, United"
55,"Japan Tokyo, Mali Bamako, Vietnam Hanoi, North Macedonia Skopje, New Zealand Wellington, United States Washington, D.C., Mexico",Mexico City,"City, United States Washington, D.C.
The"
56,"Kenya Nairobi, New Zealand Wellington, Trinidad and Tobago Port-of-Spain, Madagascar Antananarivo, Angola Luanda, Cameroon Yaounde, Yemen",Sanaa,"Sanaa, Canada Toronto, Ethiopia Addis"
57,"Guinea Conakry, Turkey Ankara, Madagascar Antananarivo, Bulgaria Sofia, Vietnam Hanoi, Switzerland Bern, Niger",Niamey,"ia Abuja, Rwanda Kigali,"
58,"Turkey Ankara, Mexico Mexico City, Russia Moscow, Hong Kong Hong Kong, United States Washington, D.C., Trinidad and Tobago Port-of-Spain, Egypt",Cairo,"Cairo, Canada Toronto, China Beijing, India"
59,"Greece Athens, Gambia Banjul, Tanzania Dodoma, Myanmar Nay Pyi Taw, Cuba Havana, Bahrain Manama, Netherlands",Amsterdam,"The Hague, Portugal Lisbon, Rwanda K"
60,"Switzerland Bern, Cuba Havana, Myanmar Nay Pyi Taw, South Sudan Juba, Benin Porto-Novo, Libya Tripoli, Laos",Vientiane,"Vientiane, Tajikistan Dushanbe"
61,"Switzerland Bern, Brazil Brasilia, Guatemala Guatemala City, Equatorial Guinea Malabo, Greece Athens, Denmark Copenhagen, Guinea-Bissau",Bissau,"Bissau, Greece Athens, India New Delhi"
62,"Cuba Havana, China Beijing, Taiwan Taipei, Benin Porto-Novo, Sierra Leone Freetown, Niger Niamey, Panama",Panama City,"Panama City, Togo Lome, Uganda"
63,"India New Delhi, Australia Canberra, Malaysia Kuala Lumpur, Singapore Singapore, Philippines Manila, Timor-Leste Dili, Peru",Lima,"Lima, Sri Lanka Colombo, Nepal Kath"
64,"Ukraine Kiev, Vietnam Hanoi, South Korea Seoul, Brazil Brasilia, South Africa Pretoria, Cambodia Phnom Penh, Eswatini",Mbabane,"Mbabane, France Paris, Germany Berlin, Italy"
65,"Iraq Baghdad, Liberia Monrovia, Brazil Brasilia, Australia Canberra, Equatorial Guinea Malabo, Chad N'Djamena, Ethiopia",Addis Ababa,"Addis Ababa, France Paris, India New Delhi"
66,"Papua New Guinea Port Moresby, Brazil Brasilia, Vietnam Hanoi, South Sudan Juba, Panama Panama City, Pakistan Islamabad, Estonia",Tallinn,"Tallinn, Thailand Bangkok, Japan Tokyo"
67,"Trinidad and Tobago Port-of-Spain, Sudan Khartoum, Ivory Coast Yamoussoukro, Gambia Banjul, Palestine Ramallah, Somalia Mogadishu, Iran",Tehran,"Tehran, Lebanon Beirut, Venezuela Car"
68,"Philippines Manila, North Korea Pyongyang, China Beijing, Guinea-Bissau Bissau, Egypt Cairo, Australia Canberra, El Salvador",San Salvador,"San Salvador, United States Washington, Iran Tehran,"
69,"Eritrea Asmara, Myanmar Nay Pyi Taw, Burundi Bujumbura, Angola Luanda, South Sudan Juba, Ecuador Quito, Singapore",Singapore,", Maldives Male, Sri Lanka Colombo"
70,"Bulgaria Sofia, Liberia Monrovia, Morocco Rabat, Cameroon Yaounde, Portugal Lisbon, Australia Canberra, Iraq",Baghdad,"Baghdad, Germany Berlin, Netherlands The Hague,"
71,"Greece Athens, Dominican Republic Santo Domingo, Sri Lanka Colombo, Ecuador Quito, Switzerland Bern, Togo Lomé, Libya",Tripoli,"Tripoli, United Arab Emirates Dubai,"
72,"Niger Niamey, Cameroon Yaounde, Sweden Stockholm, El Salvador San Salvador, Turkey Ankara, Philippines Manila, Lesotho",Maseru,"Maseru, Malawi Lilongwe, Z"
73,"Venezuela Caracas, Palestine Ramallah, Canada Ottawa, Ivory Coast Yamoussoukro, Denmark Copenhagen, Turkey Ankara, Finland",Helsinki,"Helsinki, and 13 more
Iran"
74,"Myanmar Nay Pyi Taw, Spain Madrid, Brazil Brasilia, Australia Canberra, Turkmenistan Ashgabat, Hungary Budapest, North Macedonia",Skopje,"Skopje, Uzbekistan Tashkent"
75,"Lithuania Vilnius, Iran Tehran, Morocco Rabat, Canada Ottawa, Myanmar Nay Pyi Taw, Ukraine Kiev, United Kingdom",London,"London, Japan Tokyo, United States Washington, Germany Berlin,"
76,"Malaysia Kuala Lumpur, Haiti Port-au-Prince, United Arab Emirates Abu Dhabi, Switzerland Bern, Israel Jerusalem, Guinea-Bissau Bissau, North Korea",Pyongyang,"Pyongyang, South Korea Seoul, United States"
77,"El Salvador San Salvador, Tanzania Dodoma, Australia Canberra, Lithuania Vilnius, Venezuela Caracas, Cameroon Yaounde, Turkmenistan",Ashgabat,"Ashgabat, Guatemala Guatemala City"
