,prompts,keys,outputs
0,"Georgia Atlanta, Tennessee Nashville, Texas Austin, Utah Salt Lake City, Oregon Salem, Nevada Carson City, Iowa",Des Moines,"Des Moines, Oklahoma Oklahoma City, Kansas City, Missouri"
1,"Washington Olympia, Tennessee Nashville, Nebraska Lincoln, Arizona Phoenix, Oklahoma Oklahoma City, West Virginia Charleston, Wyoming",Cheyenne,"Cheyenne, and South Dakota Sioux Falls"
2,"Michigan Lansing, Arizona Phoenix, Oregon Salem, Massachusetts Boston, Rhode Island Providence, Alabama Montgomery, Iowa",Des Moines,"Des Moines, Washington, D.C. Washington,"
3,"New Jersey Trenton, South Carolina Columbia, Hawaii Honolulu, Tennessee Nashville, West Virginia Charleston, New Hampshire Concord, Mississippi",Jackson,"Jackson, Georgia Atlanta, North Carolina Raleigh, North"
4,"Delaware Dover, West Virginia Charleston, Indiana Indianapolis, Nebraska Lincoln, North Dakota Bismarck, Rhode Island Providence, Idaho",Boise,"Boise, South Dakota Sioux Falls, Illinois"
5,"Mississippi Jackson, Iowa Des Moines, Delaware Dover, West Virginia Charleston, New York Albany, California Sacramento, Massachusetts",Boston,"Boston, Maryland Annapolis, New Hampshire Concord,"
6,"Hawaii Honolulu, Illinois Springfield, Minnesota St. Paul, Delaware Dover, Arizona Phoenix, Nevada Carson City, Utah",Salt Lake City,"Salt Lake City, Washington, D.C. Washington,"
7,"Alaska Juneau, Rhode Island Providence, Connecticut Hartford, Washington Olympia, Georgia Atlanta, Arkansas Little Rock, Iowa",Des Moines,"Des Moines, Kansas Topeka, Louisiana Baton"
8,"Idaho Boise, Kentucky Frankfort, North Dakota Bismarck, New Mexico Santa Fe, Colorado Denver, Massachusetts Boston, Utah",Salt Lake City,"Salt Lake City, New York Albany, New Hampshire"
9,"Texas Austin, Idaho Boise, Virginia Richmond, Nebraska Lincoln, Massachusetts Boston, Wyoming Cheyenne, Mississippi",Jackson,"Jackson, Colorado Denver, Colorado Cheyenne, Wy"
10,"Maryland Annapolis, Kansas Topeka, Georgia Atlanta, Hawaii Honolulu, Montana Helena, Colorado Denver, Arkansas",Little Rock,"Little Rock, New York New York, New Mexico Santa Fe"
11,"Massachusetts Boston, Alaska Juneau, Louisiana Baton Rouge, Illinois Springfield, Mississippi Jackson, Iowa Des Moines, Oklahoma",Oklahoma City,"Oklahoma City, Iowa Iowa City, Kansas Wichita,"
12,"Hawaii Honolulu, Tennessee Nashville, Minnesota St. Paul, California Sacramento, Alabama Montgomery, Idaho Boise, New Jersey",Trenton,"Jersey City, Ohio Cincinnati, Indiana Indianapolis"
13,"Arkansas Little Rock, Indiana Indianapolis, Colorado Denver, Michigan Lansing, Connecticut Hartford, Louisiana Baton Rouge, Rhode Island",Providence,"Providence, Arizona Phoenix, Oklahoma City, Illinois Chicago,"
